Magnetometer,version=1,hw_revision=1,timescale=1000000
Type,Mode,Timestamp(sec),x,y,z
3,1,0.052,8.2000732421875,-20.28350830078125,-19.28863525390625
3,1,0.075,7.415771484375,-21.3226318359375,-20.44525146484375
3,1,0.08400000000000001,8.8134765625,-21.6888427734375,-19.4549560546875
3,1,0.094,7.35321044921875,-21.5545654296875,-17.96722412109375
3,1,0.102,9.53216552734375,-20.8831787109375,-18.792724609375
3,1,0.122,7.8155517578125,-22.1649169921875,-19.68536376953125
3,1,0.19,10.9832763671875,-20.64056396484375,-16.9769287109375
3,1,0.39,14.703369140625,-19.036865234375,-12.06207275390625
3,1,0.592,10.4522705078125,-21.13037109375,-16.5008544921875
3,1,0.796,11.29302978515625,-21.22344970703125,-14.98565673828125
3,1,0.993,12.30621337890625,-19.86846923828125,-14.33258056640625
3,1,1.219,10.56976318359375,-21.6522216796875,-16.64581298828125
3,1,1.399,12.70751953125,-17.48504638671875,-12.8448486328125
3,1,1.598,12.60223388671875,-22.43499755859375,-15.985107421875
3,1,1.8,15.35491943359375,-19.67315673828125,-11.358642578125
3,1,2.004,12.37030029296875,-22.37396240234375,-15.48919677734375
3,1,2.213,12.0941162109375,-21.5545654296875,-14.9932861328125
3,1,2.403,10.760498046875,-20.9564208984375,-15.48919677734375
3,1,2.609,12.0941162109375,-21.5545654296875,-14.66217041015625
3,1,2.806,12.62359619140625,-21.44622802734375,-14.49737548828125
3,1,3.009,12.64495849609375,-20.45440673828125,-15.985107421875
3,1,3.216,13.934326171875,-20.2972412109375,-14.166259765625
3,1,3.412,11.16180419921875,-21.3104248046875,-14.00146484375
3,1,3.614,12.26348876953125,-19.110107421875,-13.671875
3,1,3.815,12.64495849609375,-23.193359375,-15.985107421875
3,1,4.015,10.20965576171875,-22.05657958984375,-17.4713134765625
3,1,4.216,14.82391357421875,-19.78302001953125,-11.85302734375
3,1,4.417,12.26348876953125,-21.84906005859375,-12.01934814453125
3,1,4.619,13.21563720703125,-21.1029052734375,-12.5152587890625
3,1,4.82,13.067626953125,-19.81964111328125,-16.314697265625
3,1,5.023,13.153076171875,-21.3348388671875,-13.34075927734375
3,1,5.223,14.9932861328125,-20.0775146484375,-11.85302734375
3,1,5.425,12.55950927734375,-21.67816162109375,-14.33258056640625
3,1,5.627,18.4234619140625,-18.487548828125,-10.5316162109375
3,1,5.828,14.9932861328125,-20.0775146484375,-12.5152587890625
3,1,6.03,13.7237548828125,-19.24591064453125,-13.17596435546875
3,1,6.231,11.26861572265625,-21.83685302734375,-12.8448486328125
3,1,6.433,13.55438232421875,-21.69036865234375,-16.14990234375
3,1,6.633,14.52789306640625,-22.69287109375,-12.8448486328125
3,1,6.835,11.88201904296875,-20.5047607421875,-14.33258056640625
3,1,7.037,12.432861328125,-22.14202880859375,-14.9932861328125
3,1,7.239,12.4755859375,-20.16143798828125,-13.671875
3,1,7.442,12.89825439453125,-19.52667236328125,-13.671875
3,1,7.642,15.41748046875,-22.17864990234375,-12.5152587890625
3,1,7.842,15.6280517578125,-20.4925537109375,-10.86273193359375
3,1,8.045,13.0462646484375,-20.8099365234375,-13.50555419921875
3,1,8.252000000000001,14.59197998046875,-22.45941162109375,-14.00146484375
3,1,8.452999999999999,13.57574462890625,-20.7000732421875,-13.671875
3,1,8.65,12.64495849609375,-20.45440673828125,-12.6800537109375
3,1,8.849,15.33203125,-20.6634521484375,-11.85302734375
3,1,9.051,12.96234130859375,-22.03216552734375,-17.4713134765625
3,1,9.255000000000001,12.32757568359375,-21.61712646484375,-15.1580810546875
3,1,9.452999999999999,15.94696044921875,-19.33135986328125,-9.375
3,1,9.661,13.83056640625,-19.77081298828125,-14.33258056640625
3,1,9.858000000000001,11.20452880859375,-22.06878662109375,-14.66217041015625
3,1,10.058,12.30621337890625,-22.60589599609375,-15.3228759765625
3,1,10.26,17.6605224609375,-21.2738037109375,-9.87091064453125
3,1,10.461,14.739990234375,-21.0052490234375,-12.8448486328125
3,1,10.662,14.3585205078125,-19.66094970703125,-12.8448486328125
3,1,10.863,13.57574462890625,-20.7000732421875,-13.34075927734375
3,1,11.073,11.8621826171875,-21.4935302734375,-14.166259765625
3,1,11.265,14.63470458984375,-20.4803466796875,-12.34893798828125
3,1,11.467,13.83056640625,-19.77081298828125,-11.358642578125
3,1,11.669,13.153076171875,-21.3348388671875,-14.66217041015625
3,1,11.872,14.93072509765625,-20.3094482421875,-14.00146484375
3,1,12.072,13.17291259765625,-20.3460693359375,-13.17596435546875
3,1,12.274,11.62872314453125,-21.4324951171875,-15.3228759765625
3,1,12.475,10.67657470703125,-22.17864990234375,-15.48919677734375
3,1,12.676,13.4063720703125,-20.4071044921875,-12.34893798828125
3,1,12.878,13.4063720703125,-20.4071044921875,-13.0096435546875
3,1,13.081,15.54412841796875,-18.97735595703125,-12.8448486328125
3,1,13.281,13.99993896484375,-22.80120849609375,-11.688232421875
3,1,13.482,10.95123291015625,-20.25909423828125,-14.33258056640625
3,1,13.684,13.51165771484375,-20.9320068359375,-14.49737548828125
3,1,13.885,12.87689208984375,-20.5169677734375,-13.50555419921875
3,1,14.087,15.289306640625,-19.9066162109375,-11.85302734375
3,1,14.291,11.98883056640625,-21.0296630859375,-14.8284912109375
3,1,14.488,14.9932861328125,-20.0775146484375,-12.18414306640625
3,1,14.697,12.96234130859375,-22.03216552734375,-13.836669921875
3,1,14.892,16.03240966796875,-20.8465576171875,-10.3668212890625
3,1,15.092,13.55438232421875,-21.69036865234375,-13.17596435546875
3,1,15.296,11.24725341796875,-20.08819580078125,-15.3228759765625
3,1,15.496,14.4012451171875,-20.4193115234375,-10.86273193359375
3,1,15.698,19.88372802734375,-21.3592529296875,-6.40106201171875
3,1,15.908,14.0411376953125,-20.8221435546875,-12.6800537109375
3,1,16.1,15.20538330078125,-21.1273193359375,-12.5152587890625
3,1,16.301,16.3055419921875,-21.66595458984375,-12.18414306640625
3,1,16.506,13.5955810546875,-19.70977783203125,-10.86273193359375
3,1,16.709,13.32244873046875,-21.6278076171875,-13.0096435546875
3,1,16.907,11.54327392578125,-19.91729736328125,-12.6800537109375
3,1,17.107,12.96234130859375,-22.03216552734375,-13.50555419921875
3,1,17.311,13.91448974609375,-21.2860107421875,-12.6800537109375
3,1,17.51,13.51165771484375,-20.9320068359375,-12.8448486328125
3,1,17.712,12.7716064453125,-19.99053955078125,-12.6800537109375
3,1,17.914,13.97705078125,-21.0540771484375,-12.18414306640625
3,1,18.114,14.0838623046875,-21.58050537109375,-14.00146484375
3,1,18.317,13.02490234375,-21.80023193359375,-15.985107421875
3,1,18.521,10.272216796875,-21.82464599609375,-18.95904541015625
3,1,18.719,12.158203125,-21.3226318359375,-16.14990234375
3,1,18.92,9.12933349609375,-20.5291748046875,-15.985107421875
3,1,19.124,18.42193603515625,-21.2249755859375,-7.2265625
3,1,19.323,9.53216552734375,-20.8831787109375,-14.166259765625
3,1,19.524,11.8621826171875,-21.4935302734375,-14.8284912109375
3,1,19.732,14.88800048828125,-19.55108642578125,-11.688232421875
3,1,19.927,11.8621826171875,-21.4935302734375,-14.8284912109375
3,1,20.128,13.91448974609375,-21.2860107421875,-13.34075927734375
3,1,20.329,13.59710693359375,-22.44873046875,-11.85302734375
3,1,20.532,17.80853271484375,-19.81964111328125,-8.3831787109375
3,1,20.741,10.44158935546875,-22.11761474609375,-15.985107421875
3,1,20.938,11.92474365234375,-21.2615966796875,-15.65399169921875
3,1,21.138,16.53900146484375,-21.7254638671875,-9.04388427734375
3,1,21.337,13.17291259765625,-20.3460693359375,-16.14990234375
3,1,21.543,11.88201904296875,-23.2421875,-14.9932861328125
3,1,21.739,14.3798828125,-18.670654296875,-10.6964111328125
3,1,21.941,11.50054931640625,-19.16046142578125,-14.9932861328125
3,1,22.145,10.29510498046875,-20.8343505859375,-16.14990234375
3,1,22.345,11.3739013671875,-19.62432861328125,-14.9932861328125
3,1,22.546,13.02490234375,-21.80023193359375,-13.671875
3,1,22.749,11.4166259765625,-20.38116455078125,-14.33258056640625
3,1,22.949,17.23785400390625,-21.9085693359375,-11.5234375
3,1,23.151,12.6861572265625,-21.2127685546875,-15.65399169921875
3,1,23.353,13.067626953125,-19.81964111328125,-12.6800537109375
3,1,23.553,11.8194580078125,-20.7366943359375,-14.49737548828125
3,1,23.757,13.46893310546875,-20.1751708984375,-13.50555419921875
3,1,23.959,15.56396484375,-23.4619140625,-11.02752685546875
3,1,24.156,16.03240966796875,-20.8465576171875,-14.33258056640625
3,1,24.366,12.3260498046875,-18.878173828125,-14.8284912109375
3,1,24.563,9.84954833984375,-22.45941162109375,-15.3228759765625
3,1,24.761,13.61846923828125,-21.4569091796875,-14.33258056640625
3,1,24.962,13.59710693359375,-22.44873046875,-12.8448486328125
3,1,25.163,12.26348876953125,-21.84906005859375,-14.00146484375
3,1,25.369,17.61932373046875,-20.5169677734375,-7.2265625
3,1,25.57,12.55950927734375,-18.939208984375,-12.34893798828125
3,1,25.785,13.470458984375,-22.91259765625,-14.166259765625
3,1,25.969,14.8468017578125,-18.792724609375,-10.3668212890625
3,1,26.173,14.7186279296875,-21.99554443359375,-11.02752685546875
3,1,26.372,17.449951171875,-20.2239990234375,-9.539794921875
3,1,26.574,15.10009765625,-20.6024169921875,-11.688232421875
3,1,26.778,14.1693115234375,-20.35675048828125,-12.6800537109375
3,1,26.977,11.95831298828125,-22.0184326171875,-14.83154296875
3,1,27.179,12.65106201171875,-20.9320068359375,-14.88189697265625
3,1,27.379,13.92669677734375,-19.01397705078125,-14.39971923828125
3,1,27.584,12.890625,-20.8892822265625,-14.1754150390625
3,1,27.785,11.0626220703125,-21.16241455078125,-15.50750732421875
3,1,27.989,11.35406494140625,-20.6146240234375,-16.14990234375
3,1,28.188,12.6861572265625,-21.2127685546875,-12.6800537109375
3,1,28.388,14.97344970703125,-21.0662841796875,-13.34075927734375
3,1,28.587,14.54925537109375,-21.70257568359375,-13.0096435546875
3,1,28.793,10.82305908203125,-20.7244873046875,-15.985107421875
3,1,28.992,14.46533203125,-20.18585205078125,-11.688232421875
3,1,29.195,11.65008544921875,-20.4437255859375,-16.81060791015625
3,1,29.395,13.153076171875,-21.3348388671875,-13.671875
3,1,29.594,14.422607421875,-19.42901611328125,-11.688232421875
3,1,29.797,19.183349609375,-21.1761474609375,-4.913330078125
3,1,29.997,14.3585205078125,-19.66094970703125,-10.5316162109375
3,1,30.21,15.16265869140625,-20.3704833984375,-13.17596435546875
3,1,30.402,13.19427490234375,-19.35577392578125,-15.985107421875
3,1,30.609,13.83056640625,-22.50823974609375,-13.34075927734375
3,1,30.804,13.4918212890625,-21.92230224609375,-12.6800537109375
3,1,31.004,14.86663818359375,-23.27728271484375,-13.50555419921875
3,1,31.207,19.09942626953125,-22.39837646484375,-7.55767822265625
3,1,31.408,14.29595947265625,-19.89288330078125,-11.358642578125
3,1,31.613,12.9180908203125,-18.536376953125,-16.14990234375
3,1,31.817,14.97344970703125,-21.0662841796875,-12.01934814453125
3,1,32.013,14.14642333984375,-21.34857177734375,-15.48919677734375
3,1,32.213,13.1317138671875,-22.32513427734375,-12.8448486328125
3,1,32.414,12.91961669921875,-21.27532958984375,-14.166259765625
3,1,32.617,16.3055419921875,-21.66595458984375,-11.19232177734375
3,1,32.817,13.42620849609375,-19.41680908203125,-13.50555419921875
3,1,33.021,10.90850830078125,-22.23968505859375,-16.314697265625
3,1,33.221,11.20452880859375,-22.06878662109375,-16.64581298828125
3,1,33.423,14.29595947265625,-19.89288330078125,-14.66217041015625
3,1,33.632,13.0462646484375,-20.8099365234375,-14.166259765625
3,1,33.825,15.01617431640625,-21.82464599609375,-14.33258056640625
3,1,34.029,12.8143310546875,-20.7489013671875,-14.9932861328125
3,1,34.228,7.818603515625,-21.6766357421875,-18.6279296875
3,1,34.43,12.1368408203125,-22.31292724609375,-14.66217041015625
3,1,34.631,15.98968505859375,-20.08819580078125,-12.34893798828125
3,1,34.832,11.7340087890625,-21.95892333984375,-15.81878662109375
3,1,35.037,17.6605224609375,-21.2738037109375,-7.88726806640625
3,1,35.235,12.7716064453125,-19.99053955078125,-14.33258056640625
3,1,35.44,9.4482421875,-22.10540771484375,-15.81878662109375
3,1,35.637,17.0684814453125,-21.6156005859375,-10.2020263671875
3,1,35.839,14.739990234375,-21.0052490234375,-14.166259765625
3,1,36.04,11.16180419921875,-18.572998046875,-15.3228759765625
3,1,36.248,12.6861572265625,-21.2127685546875,-14.9932861328125
3,1,36.453,12.7288818359375,-21.97113037109375,-14.33258056640625
3,1,36.655,13.97705078125,-23.79150390625,-13.836669921875
3,1,36.846,12.0513916015625,-20.7977294921875,-14.00146484375
3,1,37.047,14.2730712890625,-20.8831787109375,-15.1580810546875
3,1,37.25,10.44158935546875,-22.11761474609375,-17.6361083984375
3,1,37.451,16.0308837890625,-23.58245849609375,-13.0096435546875
3,1,37.663,13.57574462890625,-20.7000732421875,-13.671875
3,1,37.853,8.98284912109375,-21.98333740234375,-18.792724609375
3,1,38.054,12.87689208984375,-20.5169677734375,-14.49737548828125
3,1,38.257,11.65008544921875,-20.4437255859375,-15.48919677734375
3,1,38.459,12.24212646484375,-20.1019287109375,-14.49737548828125
3,1,38.66,13.80767822265625,-20.7611083984375,-12.18414306640625
3,1,38.86,11.8194580078125,-20.7366943359375,-14.8284912109375
3,1,39.062,13.89312744140625,-22.27630615234375,-12.18414306640625
3,1,39.275,10.29510498046875,-20.8343505859375,-17.80242919921875
3,1,39.464,10.760498046875,-20.9564208984375,-14.8284912109375
3,1,39.668,14.654541015625,-19.49005126953125,-12.8448486328125
3,1,39.868,12.7288818359375,-21.97113037109375,-14.9932861328125
3,1,40.07,16.28570556640625,-19.91729736328125,-12.01934814453125
3,1,40.27,8.94012451171875,-21.2249755859375,-17.4713134765625
3,1,40.473,13.57574462890625,-20.7000732421875,-13.34075927734375
3,1,40.672,16.7510986328125,-20.0408935546875,-12.01934814453125
3,1,40.875,15.863037109375,-20.5535888671875,-12.01934814453125
3,1,41.076,12.96234130859375,-22.03216552734375,-13.50555419921875
3,1,41.282,15.65093994140625,-19.50225830078125,-13.0096435546875
3,1,41.481,11.6912841796875,-18.463134765625,-14.166259765625
3,1,41.683,12.0513916015625,-20.7977294921875,-14.00146484375
3,1,41.881,12.835693359375,-22.49603271484375,-13.17596435546875
3,1,42.084,14.90936279296875,-21.2982177734375,-11.85302734375
3,1,42.284,13.0889892578125,-21.56829833984375,-13.17596435546875
3,1,42.485,14.86663818359375,-20.5413818359375,-12.18414306640625
3,1,42.688,6.63299560546875,-19.62432861328125,-17.6361083984375
3,1,42.889,11.798095703125,-21.7254638671875,-14.9932861328125
3,1,43.092,13.6810302734375,-21.2249755859375,-14.8284912109375
3,1,43.291,13.27972412109375,-20.8709716796875,-14.66217041015625
3,1,43.493,13.21563720703125,-21.1029052734375,-15.1580810546875
3,1,43.694,11.7767333984375,-19.97833251953125,-17.1417236328125
3,1,43.896,11.60736083984375,-22.42279052734375,-14.166259765625
3,1,44.097,11.28997802734375,-20.8465576171875,-15.985107421875
3,1,44.298,12.8143310546875,-20.7489013671875,-14.66217041015625
3,1,44.499,12.4542236328125,-21.1517333984375,-13.50555419921875
3,1,44.712,14.44244384765625,-21.17767333984375,-14.49737548828125
3,1,44.902,14.21051025390625,-21.1151123046875,-12.6800537109375
3,1,45.106,14.82391357421875,-19.78302001953125,-13.17596435546875
3,1,45.308,15.26947021484375,-20.8953857421875,-12.01934814453125
3,1,45.507,13.57574462890625,-20.7000732421875,-14.66217041015625
3,1,45.707,14.57061767578125,-23.44818115234375,-11.5234375
3,1,45.911,16.60308837890625,-21.49505615234375,-9.87091064453125
3,1,46.11,16.58172607421875,-19.74639892578125,-12.34893798828125
3,1,46.316,14.48516845703125,-19.19708251953125,-12.5152587890625
3,1,46.523,15.0360107421875,-20.8343505859375,-10.86273193359375
3,1,46.715,17.15240478515625,-20.3948974609375,-9.539794921875
3,1,46.918,12.19940185546875,-19.342041015625,-14.8284912109375
3,1,47.121,15.6280517578125,-20.4925537109375,-10.2020263671875
3,1,47.32,12.6861572265625,-18.475341796875,-13.671875
3,1,47.523,14.93072509765625,-20.3094482421875,-11.358642578125
3,1,47.73,11.395263671875,-21.37298583984375,-15.48919677734375
3,1,47.925,14.21051025390625,-21.1151123046875,-15.65399169921875
3,1,48.125,17.3004150390625,-21.6766357421875,-8.3831787109375
3,1,48.329,15.11993408203125,-22.35107421875,-13.836669921875
3,1,48.528,20.306396484375,-20.7244873046875,-5.40924072265625
3,1,48.734,12.83416748046875,-19.75860595703125,-14.49737548828125
3,1,48.942,11.43798828125,-22.12982177734375,-15.81878662109375
3,1,49.132,12.7288818359375,-21.97113037109375,-14.66217041015625
3,1,49.337,11.83929443359375,-19.74639892578125,-16.314697265625
3,1,49.535,15.20538330078125,-21.1273193359375,-11.5234375
3,1,49.736,13.427734375,-22.15423583984375,-13.836669921875
3,1,49.943,13.61846923828125,-21.4569091796875,-14.66217041015625
3,1,50.145,12.79296875,-21.73919677734375,-15.48919677734375
3,1,50.34,13.51165771484375,-23.66790771484375,-15.1580810546875
3,1,50.542,13.02490234375,-21.80023193359375,-13.34075927734375
3,1,50.743,14.48516845703125,-21.93450927734375,-13.836669921875
3,1,50.946,19.5220947265625,-21.76361083984375,-7.88726806640625
3,1,51.157,11.4593505859375,-21.1395263671875,-15.985107421875
3,1,51.362,11.50054931640625,-21.89788818359375,-16.97540283203125
3,1,51.549,12.62359619140625,-21.44622802734375,-15.81878662109375
3,1,51.752,13.0035400390625,-20.05157470703125,-14.8284912109375
3,1,51.953,10.29510498046875,-20.8343505859375,-14.49737548828125
3,1,52.154,12.89825439453125,-22.26409912109375,-14.00146484375
3,1,52.356,13.4918212890625,-19.183349609375,-12.34893798828125
3,1,52.556,10.5072021484375,-21.88568115234375,-16.14990234375
3,1,52.758,11.1846923828125,-20.32012939453125,-16.4794921875
3,1,52.96,14.697265625,-22.98431396484375,-14.166259765625
3,1,53.163,13.21563720703125,-21.1029052734375,-13.836669921875
3,1,53.363,13.702392578125,-20.2362060546875,-14.9932861328125
3,1,53.565,12.60223388671875,-19.69757080078125,-14.66217041015625
3,1,53.764,9.405517578125,-21.3470458984375,-16.81060791015625
3,1,53.967,11.88201904296875,-20.5047607421875,-14.9932861328125
3,1,54.168,12.4755859375,-20.16143798828125,-15.3228759765625
3,1,54.369,12.53814697265625,-19.92950439453125,-13.50555419921875
3,1,54.57,14.0838623046875,-21.58050537109375,-13.0096435546875
3,1,54.771,16.009521484375,-21.83685302734375,-14.8284912109375
3,1,54.974,11.96746826171875,-22.01995849609375,-14.00146484375
3,1,55.175,16.28570556640625,-19.91729736328125,-10.6964111328125
3,1,55.376,14.59197998046875,-22.45941162109375,-12.34893798828125
3,1,55.577,14.739990234375,-21.0052490234375,-12.8448486328125
3,1,55.779,17.63916015625,-19.52667236328125,-10.3668212890625
3,1,55.981,16.56036376953125,-20.7366943359375,-10.5316162109375
3,1,56.207,13.0462646484375,-20.8099365234375,-14.49737548828125
3,1,56.383,14.2730712890625,-20.8831787109375,-14.166259765625
3,1,56.584,14.33868408203125,-20.6512451171875,-12.6800537109375
3,1,56.786,19.22760009765625,-19.19708251953125,-7.88726806640625
3,1,56.988,17.364501953125,-21.4447021484375,-10.5316162109375
3,1,57.188,16.9830322265625,-20.1019287109375,-11.85302734375
3,1,57.39,10.845947265625,-19.73419189453125,-16.81060791015625
3,1,57.591,11.24725341796875,-20.08819580078125,-14.9932861328125
3,1,57.793,15.4815673828125,-21.94671630859375,-10.6964111328125
3,1,57.994,14.4012451171875,-20.4193115234375,-13.50555419921875
3,1,58.197,15.88287353515625,-22.2991943359375,-12.5152587890625
3,1,58.398,11.7767333984375,-19.97833251953125,-14.49737548828125
3,1,58.602,7.4371337890625,-20.33233642578125,-16.314697265625
3,1,58.818,13.19427490234375,-19.35577392578125,-14.66217041015625
3,1,59.004,12.4114990234375,-20.3948974609375,-14.49737548828125
3,1,59.204,14.422607421875,-22.16644287109375,-11.688232421875
3,1,59.405,13.80767822265625,-20.7611083984375,-15.81878662109375
3,1,59.609,10.400390625,-21.3592529296875,-16.314697265625
